FIPS,GEO_ID,NAME,NumHouseholds,Broadband,EP_POV150,RUCC_2013,Description,Metro_Nonmetro,prop_broadband,State,County_Name
37127,0500000US37127,"Nash County, North Carolina",37371,29686,27.1,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.794359263,NC,Nash County
37129,0500000US37129,"New Hanover County, North Carolina",97998,85767,24,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.87519133,NC,New Hanover County
37131,0500000US37131,"Northampton County, North Carolina",8424,4601,33.2,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.546177588,NC,Northampton County
37133,0500000US37133,"Onslow County, North Carolina",66131,59333,25.3,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.897204034,NC,Onslow County
37135,0500000US37135,"Orange County, North Carolina",53222,47616,18.6,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.894667619,NC,Orange County
37137,0500000US37137,"Pamlico County, North Carolina",5506,4297,27.7,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.780421359,NC,Pamlico County
37139,0500000US37139,"Pasquotank County, North Carolina",14785,12094,22.8,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.817991207,NC,Pasquotank County
37141,0500000US37141,"Pender County, North Carolina",22812,18723,22,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.820752236,NC,Pender County
37143,0500000US37143,"Perquimans County, North Carolina",5886,4582,23.1,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.778457356,NC,Perquimans County
37145,0500000US37145,"Person County, North Carolina",16153,13016,24,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.805794589,NC,Person County
37147,0500000US37147,"Pitt County, North Carolina",70683,59244,29.9,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.838164764,NC,Pitt County
37149,0500000US37149,"Polk County, North Carolina",9252,7311,18.5,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.790207523,NC,Polk County
37151,0500000US37151,"Randolph County, North Carolina",56790,45730,26.7,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.805247403,NC,Randolph County
37153,0500000US37153,"Richmond County, North Carolina",18201,13966,35,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Rural,0.767320477,NC,Richmond County
37155,0500000US37155,"Robeson County, North Carolina",45881,28886,41,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.629585231,NC,Robeson County
37157,0500000US37157,"Rockingham County, North Carolina",38532,27811,27.4,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.721763729,NC,Rockingham County
